review_id,AED_ID_1,AED_ID_2,building_1,building_2,road_1,road_2,postal_code_1,postal_code_2,location_1,location_2,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,rule,confidence,reason,human_label,reviewer_note
24,058289-004,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 10 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
25,058289-004,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 10 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
26,058289-005,058289-006,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 6 Fire Lift Lobby,Level 2 Fire Lift Lobby,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
27,058289-005,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 6 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
28,058289-005,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 6 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
29,058289-006,058289-002,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 2 Fire Lift Lobby,Level 5 Swimming Pool,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
30,058289-006,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 2 Fire Lift Lobby,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
31,058289-002,058289-001,Parkroyal On Pickering,Parkroyal On Pickering,Upper Pickering Street,Upper Pickering Street,58289,58289,Level 5 Swimming Pool,Level 1 Fire Command Centre,1.28563595,103.846344,1.28563595,103.846344,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
32,088539-001,088539-002,Amara Singapore,Amara Singapore,Tanjong Pagar Road,Tanjong Pagar Road,88539,88539,Level B1 Inside Security Office,Level 6 Near To The Gym,1.27543294,103.8437271,1.27543294,103.8437271,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
33,098134-002,098134-001,ESPA (RWS),ESPA (RWS),Sentosa Gateway,Sentosa Gateway,98134,98134,Level 1 Female Sleep Zone Corridor,Level 1 Reception Counter,1.25865102,103.8162766,1.25865102,103.8162766,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
34,310480-002,310480-003,HDB Hub,HDB Hub,Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,310480,310480,Level 2 Pillar Near Seating Area,Level 1 Fire Command Centre,1.33238602,103.8485489,1.33238602,103.8485489,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
35,319387-001,319387-007,SAFRA Clubhouse (Toa Payoh),SAFRA Clubhouse (Toa Payoh),Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,319387,319387,Level 1 Security Helpdesk,Level 2 Dance Floor,1.330401,103.854704,1.330401,103.854704,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
36,319387-003,319387-005,SAFRA Clubhouse (Toa Payoh),SAFRA Clubhouse (Toa Payoh),Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,319387,319387,Level 1 Gym,Level 2 Opposite Squash Court,1.329865,103.854291,1.329865,103.854291,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
37,319387-004,319387-006,SAFRA Clubhouse (Toa Payoh),SAFRA Clubhouse (Toa Payoh),Lorong 6 Toa Payoh,Lorong 6 Toa Payoh,319387,319387,Level 1 Swimming Pool,Level 2 Badminton Hall,1.329999,103.854178,1.329999,103.854178,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
38,339355-001,339355-002,Geylang Bahru MRT Station,Geylang Bahru MRT Station,Kallang Bahru,Kallang Bahru,339355,339355,Platform Level (DTL),Near Passenger Service Centre (DTL),1.32149994,103.8719025,1.32149994,103.8719025,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
39,339356-001,339356-002,Bendemeer MRT Station,Bendemeer MRT Station,Kallang Bahru,Kallang Bahru,339356,339356,Platform Level (DTL),Near Passenger Service Centre (DTL),1.31369996,103.862999,1.31369996,103.862999,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
40,339631-001,339631-002,Kolam Ayer Community Club,Kolam Ayer Community Club,Geylang Bahru Lane,Geylang Bahru Lane,339631,339631,Level 1 In Front Of CC Counter,Level 3 Beside Staircase,1.324257,103.869746,1.324257,103.869746,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
41,357684-005,357684-006,Stamford American International School,Stamford American International School,Woodleigh Lane,Woodleigh Lane,357684,357684,Level B1 Stamford Swimming Pool,"Level B2 Adams Block, Outside Indoor Sports Hall",1.33699,103.8697662,1.33699,103.8697662,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
42,415804-002,415804-001,Kaki Bukit MRT Station,Kaki Bukit MRT Station,Kaki Bukit Avenue 1,Kaki Bukit Avenue 1,415804,415804,Near Passenger Service Centre (DTL),Platform Level (DTL),1.33500004,103.9084015,1.33500004,103.9084015,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
43,449150-002,449150-003,CHIJ Katong Convent School,CHIJ Katong Convent School,Marine Terrace,Marine Terrace,449150,449150,"Level 1 Blk Barre, BasketBall Court (Available During School Operating Hours. Approach Security Officer At Main Gate.)","Level 6 Blk Barre, Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.30690002,103.9178009,1.30690002,103.9178009,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
44,449150-004,449150-005,CHIJ Katong Convent School,CHIJ Katong Convent School,Marine Terrace,Marine Terrace,449150,449150,"Level 1 Blk Theora, Near B01-12 (Available During School Operating Hours. Approach Security Officer At Main Gate.)","Level 5 Blk Theora, Near B05-10 (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.306602,103.9177704,1.306602,103.9177704,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
45,449150-004,449150-006,CHIJ Katong Convent School,CHIJ Katong Convent School,Marine Terrace,Marine Terrace,449150,449150,"Level 1 Blk Theora, Near B01-12 (Available During School Operating Hours. Approach Security Officer At Main Gate.)","Level 3 Blk Theora, Near B03-10 (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.306602,103.9177704,1.306602,103.9177704,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
46,449150-005,449150-006,CHIJ Katong Convent School,CHIJ Katong Convent School,Marine Terrace,Marine Terrace,449150,449150,"Level 5 Blk Theora, Near B05-10 (Available During School Operating Hours. Approach Security Officer At Main Gate.)","Level 3 Blk Theora, Near B03-10 (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.306602,103.9177704,1.306602,103.9177704,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
47,449895-002,449895-003,East Coast Park Office,East Coast Park Office,East Coast Parkway,East Coast Parkway,449895,449895,Level 1 NParks Office (Buggy),Level 1 NParks Office (Buggy),1.29774797,103.9013901,1.29774797,103.9013901,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
48,449895-002,449895-004,East Coast Park Office,East Coast Park Office,East Coast Parkway,East Coast Parkway,449895,449895,Level 1 NParks Office (Buggy),Level 1 NParks Office (Buggy),1.29774797,103.9013901,1.29774797,103.9013901,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
49,449895-002,449895-001,East Coast Park Office,East Coast Park Office,East Coast Parkway,East Coast Parkway,449895,449895,Level 1 NParks Office (Buggy),Level 1 Behind NParks Office (Near Toilet),1.29774797,103.9013901,1.29774797,103.9013901,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
50,449895-003,449895-004,East Coast Park Office,East Coast Park Office,East Coast Parkway,East Coast Parkway,449895,449895,Level 1 NParks Office (Buggy),Level 1 NParks Office (Buggy),1.29774797,103.9013901,1.29774797,103.9013901,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
